time,age,sex,education,relevant_ed,location,remoteness,company_type,experience,contract,salary,contentment,happiness,languages,position,other_tech,sci_fi
2016.09.09. 12:20:27,40+,Férfi,Egyetem,Igen,Külföld,Mindkettő,Nemzetközi cég,25,Teljes munkaidős - állandó,"1 200 000,00 Ft",4,4,"C#, C++, Java",Architekt,SQL Server,He?
2016.09.09. 12:21:09,35-40,Férfi,Főiskola,Igen,Budapest,Bejárós,Nemzetközi cég,6,Teljes munkaidős - állandó,"300 000,00 Ft",4,2,"C++, Python",Test Automation Engineer,RobotFramework,He?
2016.09.09. 12:23:52,30-35,Férfi,Szakközépiskola,Nem,Budapest,Mindkettő,Kis- és középvállalkozás,11,Teljes munkaidős - állandó,"280 000,00 Ft",3,3,"PHP, Javascript, Python",Senior,"Laravel, Django, ExpressJS, MongoDB, MySQL, Oracle, Redis, Memcached, LESS, Gulp",He?
2016.09.09. 12:24:45,25-30,Férfi,Főiskola,Igen,Budapest,Bejárós,Nemzetközi cég,3,Teljes munkaidős - állandó,"390 000,00 Ft",3,3,"PHP, Javascript, C#, Python, Perl",Test Automation Expert,"Bootstrap, Jquery, Yii",Star Wars
2016.09.09. 12:25:35,20-25,Férfi,Szakközépiskola,Nem,Külföld,Távmunka,Nemzetközi cég,13,Szabadúszó,"660 000,00 Ft",3,2,"PHP, Javascript, C++, Java","full stack dev, 3d dev","angular, opengl",Star Wars
2016.09.09. 12:27:21,25-30,Férfi,Főiskola,Nem,Budapest,Bejárós,Kis- és középvállalkozás,4,Teljes munkaidős - állandó,"220 000,00 Ft",4,4,"PHP, Javascript",frontend fejlesztő / webdesigner,,Star Trek
2016.09.09. 12:35:20,30-35,Férfi,Főiskola,Igen,Budapest,Bejárós,Kis- és középvállalkozás,8,Teljes munkaidős - állandó,"350 000,00 Ft",3,4,"PHP, Javascript",Vezető fejlesztő,"LESS, SASS, Laravel, Angular",He?
2016.09.09. 12:36:22,30-35,Férfi,Főiskola,Igen,Budapest,Mindkettő,Kis- és középvállalkozás,10,"Szabadúszó, alkalmazott, válallakozó","700 000,00 Ft",4,3,"PHP, Javascript, Python",Vezető fejlesztő,,Star Wars
2016.09.09. 12:38:00,25-30,Férfi,Főiskola,Igen,Külföld,Bejárós,Nemzetközi cég,6,Teljes munkaidős - állandó,"680 000,00 Ft",4,5,"PHP, Javascript, C#, C++, Java, Ruby",Frontend fejlesztő,"Angular, Node.js, Express, LESS, SASS, Bash, MySQL, MongoDB, V",Star Trek
2016.09.09. 12:38:40,30-35,Férfi,Főiskola,Nem,Budapest,Bejárós,Nemzetközi cég,6,Teljes munkaidős - állandó,"480 000,00 Ft",3,4,"PHP, Javascript",Lead developer,,Star Wars
2016.09.09. 12:44:24,30-35,Férfi,Szakközépiskola,Igen,Vidék,Bejárós,Nemzetközi cég,12,Szabadúszó,"230 000,00 Ft",3,3,"PHP, Javascript, Html5,css,jquery,ajax","Frontend,backend fejesztő","Boostrap,angular",Star Trek
2016.09.09. 12:47:21,25-30,Férfi,Egyetem,Igen,Budapest,Bejárós,Kis- és középvállalkozás,5,Teljes munkaidős - állandó,"300 000,00 Ft",3,4,"PHP, Javascript, Java",Senior Backend fejlesztő,"Laravel, LESS, SASS, MySQL",Star Wars
2016.09.09. 12:48:07,35-40,Férfi,Szakközépiskola,Nem,Budapest,Bejárós,Nemzetközi cég,14,Teljes munkaidős - állandó,"250 000,00 Ft",2,5,"PHP, Javascript, Vb",Team manager,,He?
2016.09.09. 12:49:19,40+,Férfi,Főiskola,Nem,Budapest,Távmunka,Kis- és középvállalkozás,5,Szabadúszó,"270 000,00 Ft",3,3,"PHP, Javascript, Java",frontend,,Star Wars
2016.09.09. 12:59:49,40+,Férfi,Főiskola,Igen,Vidék,Bejárós,Nemzetközi cég,26,Teljes munkaidős - állandó,"570 000,00 Ft",5,5,C,Senior Developer,,Star Wars
2016.09.09. 13:02:47,25-30,Férfi,Szakközépiskola,Nem,Budapest,Mindkettő,Kis- és középvállalkozás,8,Teljes munkaidős - állandó,"387 000,00 Ft",4,4,"PHP, Javascript",Vezető fejlesztő,,He?
2016.09.09. 13:12:42,20-25,Férfi,Egyetem,Igen,Vidék,Mindkettő,Állami szféra,1,Diák,"100 000,00 Ft",2,2,"PHP, Javascript, C++, Java, Python, Sass,Bash,Symfony,Angular,React",Junior Fejlesztő,,Star Wars
2016.09.09. 13:16:35,25-30,Férfi,Gimnázium,Igen,Budapest,Mindkettő,Kis- és középvállalkozás,3,Szabadúszó,"400 000,00 Ft",4,5,"PHP, Javascript",Senior Frontend fejlesztő,"Less, Sass, Angular, Docker, Laravel, Ansible, Bash, Red Hat administrator",Star Wars
2016.09.09. 13:22:06,30-35,Férfi,Egyetem,Igen,Vidék,Bejárós,Kis- és középvállalkozás,3,Teljes munkaidős - állandó,"224 500,00 Ft",2,2,"PHP, Javascript, C++",PHP Programozó,,Star Wars
2016.09.09. 13:22:24,25-30,Férfi,Szakiskola,Igen,Budapest,Bejárós,Kis- és középvállalkozás,5,Teljes munkaidős - állandó,"240 000,00 Ft",3,4,"PHP, Javascript",Programozo,,He?
2016.09.09. 13:25:25,20-25,Férfi,Főiskola,Nem,Budapest,Mindkettő,Kis- és középvállalkozás,3,"Egyéni vállalkozó, de csak 2 cégnek dolgozok, arányaiban az egyiknek kb heti 4 napot, a másiknak pedig 1-et","550 000,00 Ft",5,5,"PHP, Javascript",Full-stack webfejlesztő,"Laravel, Zend, HTML5, CSS, SASS, Bootstrap, Javascript, jQuery, MySQL, PostgreSQL, Bash, Linux, Apache, AWS, Jenkins, Git, CI / CD, PHPUnit, Selenium",He?
2016.09.09. 13:25:30,20-25,Férfi,Egyetem,Igen,Budapest,Bejárós,Kis- és középvállalkozás,4,Teljes munkaidős - állandó,"330 000,00 Ft",4,5,"PHP, Javascript, C#, C++, Java, Swift, Python",Backend fejlesztő,"Laravel,Angular,Redis,SASS,nginx,Apache,Bash,Docker,MySQL,Gulp",Star Wars
2016.09.09. 13:38:27,30-35,Férfi,Szakiskola,Igen,Budapest,Bejárós,Kis- és középvállalkozás,5,Teljes munkaidős - állandó,"190 000,00 Ft",2,4,PHP,Frontend fejlesztő,,Star Wars
2016.09.09. 13:38:37,30-35,Férfi,Szakiskola,Igen,Vidék,Távmunka,Kis- és középvállalkozás,11,Szabadúszó,"600 000,00 Ft",4,4,"PHP, Javascript, C++",Vezető fejlesztő,,He?
2016.09.09. 13:39:35,25-30,Férfi,Egyetem,Nem,Budapest,Bejárós,Nemzetközi cég,3,Teljes munkaidős - állandó,"330 000,00 Ft",3,4,"PHP, Javascript, C#, Java",Software engineer,,Star Wars
2016.09.09. 13:41:34,20-25,Férfi,Gimnázium,Nem,Budapest,Bejárós,Startup,3,Teljes munkaidős - állandó,"276 000,00 Ft",3,3,"PHP, Javascript",Szoftverfejleszto,"Angular, React, LESS, SASS, Wordpress",He?
2016.09.09. 13:46:26,25-30,Férfi,Főiskola,Igen,Budapest,Távmunka,free,8,Szabadúszó,"500 000,00 Ft",3,1,"PHP, Javascript, C#, C++",vegyes,,Star Trek
2016.09.09. 13:49:50,20-25,Férfi,Szakközépiskola,Nem,Budapest,Mindkettő,Kis- és középvállalkozás,1,Részmunkaidő,"100 000,00 Ft",3,4,"PHP, Javascript",Senior,"Laravel, Symfony, MongoDB,",He?
2016.09.09. 13:50:38,25-30,Férfi,Egyetem,Nem,Budapest,Mindkettő,Kis- és középvállalkozás,2,Teljes munkaidős - állandó,"250 000,00 Ft",5,4,Javascript,Junior Javascript Developer,"Less, Sass, Bash, PHP, Python, HTML5, CSS3, MySQL, LUA, C",Star Trek
2016.09.09. 14:02:08,25-30,Férfi,Szakiskola,Igen,Budapest,Bejárós,Kis- és középvállalkozás,5,Teljes munkaidős - állandó,"250 000,00 Ft",3,3,"PHP, Javascript",Webfejleszto,,He?
2016.09.09. 14:03:56,20-25,Férfi,Gimnázium,Nem,Budapest,Távmunka,Startup,3,Szabadúszó,"250 000,00 Ft",3,4,"PHP, Javascript, Python, HTML, CSS blabla minden ami web dev",Fullstack Developer,"Laravel, Symfony, LESS, SASS, Mongodb",Star Wars
2016.09.09. 14:16:43,20-25,Férfi,Egyetem,Igen,Külföld,Bejárós,Nemzetközi cég,1,Teljes munkaidős - ideiglenes,"380 000,00 Ft",3,4,"Javascript, C#, C++, Java, TypeScript, HTML, CSS, XAML",Gyakornok,"Angular, ThreeJS",Star Wars
2016.09.09. 14:20:14,20-25,Férfi,Szakiskola,Igen,Budapest,Bejárós,Kis- és középvállalkozás,2,Teljes munkaidős - állandó,"180 000,00 Ft",2,3,"PHP, Javascript",Frontend fejlesztő,"angular2, sass, gulp, kohana",Star Wars
2016.09.09. 14:22:32,25-30,Férfi,Szakközépiskola,Nem,Budapest,Mindkettő,Nemzetközi cég,7,Teljes munkaidős - állandó,"350 000,00 Ft",3,2,"PHP, Javascript, HTML, CSS, SQL, Bash",Senior Backend Developer,"Laravel, Symfony, CodeIgniter, Social API-k, Memcache, PHPUnit, Redis, Doctrine, AdoDB, Composer, Twig, Smarty, SVN, Git, jQuery, jQuery UI, Handlebar, Bootstrap, Sphinx Search Engine...",Star Trek
2016.09.09. 14:25:15,20-25,Férfi,Szakközépiskola,Nem,Külföld,Távmunka,Startup,4,Teljes munkaidős - állandó,"800 000,00 Ft",3,3,"Javascript, C#, C++, Java, Swift, Python",Full Stack Engineer,,Star Wars
2016.09.09. 14:38:11,40+,Férfi,Főiskola,Igen,Külföld,Bejárós,"E-commerce, Fashion",13,Teljes munkaidős - állandó,"800 000,00 Ft",3,4,"PHP, Python",Senior backend dev.,Many,He?
2016.09.09. 14:39:00,30-35,Férfi,Általános iskola,Nem,Budapest,Mindkettő,Kis- és középvállalkozás,12,Teljes munkaidős - állandó,"500 000,00 Ft",4,3,"PHP, Javascript",Vezető fejlesztő,"Symfony, LESS, SASS, Redis, nincs kedvem sorolni",He?
2016.09.09. 14:42:27,20-25,Férfi,Szakiskola,Igen,Vidék,Távmunka,Kis- és középvállalkozás,4,Teljes munkaidős - állandó,"200 000,00 Ft",3,4,"PHP, Javascript, Swift, Python",Frontend fejlesztő,"LESS, MongoDB, Objective-c, MySQL, HTML",He?
2016.09.09. 14:44:35,25-30,Férfi,Szakközépiskola,Igen,Külföld,Bejárós,Nemzetközi cég,7,Teljes munkaidős - állandó,"940 000,00 Ft",4,5,"PHP, Javascript, C#, C++",Backend fejlesztö,"MongoDb, Elastic, Docker, Redis, Sass, Symfony",Star Wars
2016.09.09. 14:45:37,20-25,Férfi,Szakközépiskola,Igen,Budapest,Távmunka,Kis- és középvállalkozás,2,Szabadúszó,"300 000,00 Ft",4,3,"PHP, Javascript, C#",Backend fejlesztő,"Laravel, WordPress",He?
2016.09.09. 14:46:31,25-30,Férfi,Szakközépiskola,Nem,Külföld,Bejárós,Nemzetközi cég,5,Teljes munkaidős - állandó,"1 100 000,00 Ft",4,4,"PHP, Javascript",Frontend fejlesztő,"Angular, React, Backbone, jQuery, Bash, Laravel, SASS, AWS, Mongodb, MySQL, PostgreSQL",Star Wars
2016.09.09. 14:47:26,35-40,Férfi,Főiskola,Igen,Budapest,Mindkettő,Kis- és középvállalkozás,10,Teljes munkaidős - állandó,"431 000,00 Ft",4,4,Javascript,Frontend fejlesztő,"JADE, Stylus,..",He?
2016.09.09. 14:48:26,25-30,Férfi,Szakiskola,Igen,Budapest,Távmunka,szabadúszó,10,Szabadúszó,"500 000,00 Ft",5,3,"PHP, Javascript",Freelance digitial designer,"react, sass, less, angular",Star Wars
2016.09.09. 14:49:14,20-25,Férfi,Főiskola,Nem,Budapest,Bejárós,Magyar vállalat,4,Teljes munkaidős - állandó,"220 000,00 Ft",4,3,PHP,Junior frontend fejlesztő,"Angular, Bootstrap, LESS, SASS",Star Wars
2016.09.09. 14:49:42,25-30,Férfi,Szakközépiskola,Nem,Budapest,Távmunka,Kis- és középvállalkozás,8,Szabadúszó,"600 000,00 Ft",4,4,"PHP, Javascript",Frontend fejlesztő,,Star Trek
2016.09.09. 14:49:18,25-30,Férfi,Gimnázium,Nem,Budapest,Bejárós,Nemzetközi cég,12,Teljes munkaidős - állandó,"605 000,00 Ft",4,4,"Javascript, C#, SQL",Senior Software Engineer,"Angular,React,Azure,",Star Wars
2016.09.09. 14:50:39,25-30,Férfi,Gimnázium,Nem,Budapest,Bejárós,Nemzetközi cég,8,Teljes munkaidős - állandó,"380 000,00 Ft",3,3,"PHP, Javascript, Java",fejlesztő,,Star Wars
2016.09.09. 14:51:51,30-35,Férfi,Egyetem,Igen,Budapest,Bejárós,Kis- és középvállalkozás,15,Teljes munkaidős - állandó,"800 000,00 Ft",4,4,"Javascript, Java, Python",senior frontend developer,tl;dr,Star Wars
2016.09.09. 14:52:26,25-30,Férfi,Szakközépiskola,Nem,Budapest,Bejárós,Nemzetközi cég,6,Teljes munkaidős - állandó,"700 000,00 Ft",4,4,Javascript,Senior Engineer,mindenben is,Star Trek
2016.09.09. 14:55:18,20-25,Férfi,Gimnázium,Nem,Budapest,Bejárós,Kis- és középvállalkozás,2,Teljes munkaidős - állandó,"370 000,00 Ft",4,4,"PHP, Javascript",Frontend fejlesztő,"Angular,React,SASS,Jade,Node,Symfony",Star Wars
2016.09.09. 14:55:39,25-30,Férfi,Főiskola,Igen,Vidék,Bejárós,Startup,5,Teljes munkaidős - állandó,"300 000,00 Ft",4,5,"PHP, Javascript, Ruby",Full Stack,"Laravel, Yii2, Ruby on Rails, jQuery, Angular 1.x, Vagrant",He?
2016.09.09. 14:55:56,30-35,Férfi,Gimnázium,Igen,Külföld,Bejárós,Nemzetközi cég,5,Teljes munkaidős - ideiglenes,"1 200 000,00 Ft",4,4,Javascript,Front end developer,"Angular, SASS, NodeJs",He?
2016.09.09. 14:58:33,30-35,Férfi,Gimnázium,Nem,Budapest,Távmunka,Kis- és középvállalkozás,5,Szabadúszó,"400 000,00 Ft",3,4,"PHP, Javascript","Webdesigmer, frontend fejlesztő",,Star Wars
2016.09.09. 14:59:59,30-35,Férfi,Szakiskola,Igen,Vidék,Bejárós,Kis- és középvállalkozás,6,Teljes munkaidős - állandó,"250 000,00 Ft",4,4,"PHP, Javascript",vezető fejlesztő,"wordpress, angularjs, sass, nodejs, laravel",Star Wars
2016.09.09. 15:01:14,25-30,Férfi,Szakközépiskola,Nem,Budapest,Bejárós,Kis- és középvállalkozás,7,Teljes munkaidős - állandó,"450 000,00 Ft",4,4,"PHP, Javascript",Vezető frontend fejlesztő,"Laravel, SCSS, Docker, MySQL, Git, VueJS",He?
2016.09.09. 15:01:37,40+,Férfi,Szakközépiskola,Nem,Budapest,Távmunka,Kis- és középvállalkozás,20,Szabadúszó,"200 000,00 Ft",1,5,"PHP, Javascript",Senior webdeveloper,"Ember, Sass, Mysql, Html, CSS",Star Wars
2016.09.09. 15:03:01,25-30,Nő,Egyetem,Igen,Budapest,Bejárós,Nemzetközi cég,5,Teljes munkaidős - állandó,"370 000,00 Ft",2,2,"Javascript, C#, C++, Java",Full Stack Web Developer,"Angular, SASS, ElasticSearch, DB2, Sybase, Android",Star Trek
2016.09.09. 15:04:42,25-30,Férfi,Szakközépiskola,Igen,Budapest,Távmunka,Startup,6,Szabadúszó,"320 000,00 Ft",4,5,"PHP, Javascript, Java",Fejlesztő,"Zend, Laravel, Yii, CodeIgniter, Redis, MySql, PostgreSQL",Star Wars
2016.09.09. 15:07:41,25-30,Férfi,Egyetem,Igen,Budapest,Bejárós,Állami szféra,8,Teljes munkaidős - állandó,"432 000,00 Ft",4,4,"PHP, Javascript, Python, HTML, CSS, R",senior fejlesztő,,Star Wars
2016.09.09. 15:07:50,25-30,Férfi,Egyetem,Igen,Budapest,Bejárós,Nemzetközi cég,5,Teljes munkaidős - állandó,"450 000,00 Ft",4,5,"Javascript, Java",Frontend fejleszto,"Angular, SASS,",Star Wars
2016.09.09. 15:08:36,25-30,Férfi,Gimnázium,Igen,Budapest,Bejárós,Kis- és középvállalkozás,4,Teljes munkaidős - állandó,"240 000,00 Ft",3,5,"PHP, Javascript",Frontend fejleszto,"Angular 2, SASS",Star Wars
2016.09.09. 15:08:53,25-30,Férfi,Szakiskola,Nem,Budapest,Bejárós,Kis- és középvállalkozás,4,Teljes munkaidős - állandó,"220 000,00 Ft",4,4,"Javascript, jQuery, HTML",Frontend fejlesztő,,Star Trek
2016.09.09. 15:09:57,25-30,Férfi,Szakiskola,Nem,Budapest,Bejárós,Nemzetközi cég,3,Teljes munkaidős - állandó,"300 000,00 Ft",4,4,PHP,Helpdesk operátor,,Star Wars
2016.09.09. 15:12:31,35-40,Férfi,Főiskola,Igen,Budapest,Bejárós,Nemzetközi cég,15,Teljes munkaidős - állandó,"652 000,00 Ft",4,4,"PHP, Javascript, C++, Java, Delphi, Powerbuilder",Platform / Driver developer,"LESS, KVM, Redis, MySQL, Postgres, Linux / Unix / BSD, Certified ethical hacker, jQuery, Bootstrap, NodeJS, Android, QT, Oracle, Tuxedo, Assembly, etc...",Star Wars
2016.09.09. 15:13:46,35-40,Férfi,Főiskola,Igen,Budapest,Bejárós,Kis- és középvállalkozás,12,Teljes munkaidős - állandó,"450 000,00 Ft",3,3,"PHP, Javascript",senior fejlesztő,mysql,Star Wars
2016.09.09. 15:14:11,25-30,Férfi,Szakközépiskola,Nem,Budapest,Bejárós,Kis- és középvállalkozás,3,Teljes munkaidős - állandó,"300 000,00 Ft",3,3,"PHP, Javascript",Feontend,,Star Wars
2016.09.09. 15:17:29,25-30,Férfi,Szakközépiskola,Nem,Budapest,Mindkettő,Startup,6,Teljes munkaidős - állandó,"420 000,00 Ft",3,3,"PHP, Javascript",Frontend fejleszto,"Laravel, React, Angular, Heroku, LESS, SASS, CSS, HTML5, Webpack, Grunt, Npm, NodeJS, Yii, Redis, MySQL, PostgreSQL",Star Wars
2016.09.09. 15:17:32,30-35,Férfi,Főiskola,Igen,Budapest,Bejárós,Kis- és középvállalkozás,10,Teljes munkaidős - állandó,"600 000,00 Ft",4,4,"PHP, Javascript",Fejlesztési vezető,"Symfony, MongoDB",He?
2016.09.09. 15:18:01,25-30,Férfi,Egyetem,Igen,Budapest,Mindkettő,Kis- és középvállalkozás,3,Teljes munkaidős - állandó,"420 000,00 Ft",4,3,"Javascript, C#",Senior .NET fejlesztő,"Sitecore, ASP.NET, ASP.NET MVC, Mongodb, Git, SVN, TFS, SharePoint, Windows Phone, XNA, jQuery",He?
2016.09.09. 15:25:01,35-40,Férfi,Szakközépiskola,Nem,Budapest,Mindkettő,Kis- és középvállalkozás,12,Teljes munkaidős - állandó,"310 000,00 Ft",4,3,"PHP, Javascript",Full stack fejlesztő,SASS,Star Trek
2016.09.09. 15:25:15,25-30,Férfi,Főiskola,Igen,Budapest,Távmunka,Nemzetközi cég,3,Szabadúszó,"520 000,00 Ft",3,3,"PHP, Javascript, C#, C++, Java, Python",Vezető fejlesztő,Minden ami kell,Star Wars
2016.09.09. 15:25:48,30-35,Férfi,Szakközépiskola,Nem,Budapest,Bejárós,Startup,7,Teljes munkaidős - állandó,"635 000,00 Ft",5,4,"Javascript, Java, Python",fejlesztő,"Nodejs, Angular, React, Postgresql, MongoDb, Redis,",He?
2016.09.09. 15:28:30,25-30,Férfi,Szakközépiskola,Nem,Budapest,Bejárós,média,5,Teljes munkaidős - állandó,"250 000,00 Ft",2,4,html css,designer,,Star Trek
2016.09.09. 15:32:25,20-25,Férfi,Szakközépiskola,Igen,Budapest,Bejárós,Kis- és középvállalkozás,4,Teljes munkaidős - állandó,"370 000,00 Ft",5,4,"PHP, Javascript",Medior,"Symfony, Sass, bash",Star Wars
2016.09.09. 15:40:04,20-25,Férfi,Szakközépiskola,Nem,Vidék,Bejárós,Startup,2,Teljes munkaidős - állandó,"200 000,00 Ft",3,3,Javascript,Frontend fejlesztő,"LESS, SASS, Bash",Star Wars
2016.09.09. 15:41:22,25-30,Férfi,Gimnázium,Nem,Budapest,Távmunka,Kis- és középvállalkozás,2,Részmunkaidő,"200 000,00 Ft",4,5,"PHP, Javascript",Frontend fejlesztő,"Laravel, React, Angular",He?
2016.09.09. 15:44:17,30-35,Férfi,Főiskola,Igen,Budapest,Bejárós,Nemzetközi cég,12,Teljes munkaidős - állandó,"450 000,00 Ft",3,3,"Javascript, C#",Framework Developer,"Angular, XML, JSON, WCF, MEF",Star Wars
2016.09.09. 15:48:25,25-30,Férfi,Egyetem,Igen,Budapest,Bejárós,Nemzetközi cég,7,Teljes munkaidős - állandó,"600 000,00 Ft",4,5,"PHP, Javascript",Technical Lead,,Star Wars
2016.09.09. 15:49:17,25-30,Férfi,Szakközépiskola,Nem,Budapest,Mindkettő,Kis- és középvállalkozás,5,Teljes munkaidős - állandó,"500 000,00 Ft",5,5,"Javascript, Swift",Frontend / iOS fejlesztő,"React, Angular 2, Backbone, ExtJS, Git, WordPress, LESS, SASS, Stylus, Docker",Star Trek
2016.09.09. 15:57:42,35-40,Férfi,Gimnázium,Nem,Budapest,Bejárós,Nemzetközi cég,13,Teljes munkaidős - állandó,"390 000,00 Ft",4,5,"Javascript, Python, Typescript","Sitebuilder, Grafikus, UX designer, Nodejs fejlesztő","CSS, SASS, LESS, Bootstrap, Fontawsome, Zurb Foundation, Wordpress, Drupal, Docker, Vagrant, Linux, Bash, Ohmyzsh, Photoshop, Illustrator, Git, Github, Tipográfia, Kézirajz, Nyomdai tervezés",Star Wars
2016.09.09. 16:01:47,30-35,Férfi,Egyetem,Igen,Vegyes,Mindkettő,Nemzetközi cég,9,Teljes munkaidős - állandó,"1 080 000,00 Ft",5,3,"PHP, Javascript",Frontend fejlesztő,"Angular, SASS, Firebase, Ionic",Star Wars
2016.09.09. 16:03:07,30-35,Férfi,Gimnázium,Nem,Budapest,Bejárós,Nemzetközi cég,12,Teljes munkaidős - állandó,"700 000,00 Ft",4,4,"PHP, Javascript",Senior Product Designer,SASS,Star Wars
2016.09.09. 16:09:27,35-40,Férfi,Főiskola,Igen,Budapest,Bejárós,Nemzetközi cég,13,Teljes munkaidős - állandó,"430 000,00 Ft",4,1,"PHP, Javascript, Java",Software engineer,"sass,mysql,bBackbone,gGrunt, webpack, maven, spring, git, svn, jira, jquery, angular, selenium, mockito, tdd, jasmine, smarty, jenkins, ansible",He?
2016.09.09. 16:09:31,20-25,Férfi,Szakközépiskola,Igen,Budapest,Mindkettő,Magyar piacvezető cég de több szomszédos országban van leányvállalata,6,Teljes munkaidős - állandó,"280 000,00 Ft",3,3,"PHP, Javascript, Java, Python, Bash, Tcl/Tk, MySQL, Firebird",Senior Full-Stack fejlesztő,"CodeIgniter, Phalcon, Bash, MySQL, Firebird",Star Trek
2016.09.09. 16:09:33,25-30,Férfi,Egyetem,Igen,Budapest,Bejárós,Kis- és középvállalkozás,4,Teljes munkaidős - állandó,"360 000,00 Ft",2,2,"Javascript, C#",Developer,"Angular, React, LESS, SASS, Docker, Bash, AWS, Redis, Mongodb",Star Trek
2016.09.09. 16:26:54,30-35,Férfi,Főiskola,Igen,Vidék,Bejárós,Állami szféra,5,Teljes munkaidős - állandó,"165 000,00 Ft",1,1,PHP,junior,,Star Wars
2016.09.09. 16:34:05,25-30,Férfi,Gimnázium,Igen,Budapest,Bejárós,Kis- és középvállalkozás,3,Teljes munkaidős - állandó,"310 000,00 Ft",3,4,"PHP, Javascript",Frontend fejlesztő,"Angular, LESS, SASS, Docker, Bash, NodeJS, Gulp, Grunt",Star Wars
2016.09.09. 16:45:48,35-40,Férfi,Főiskola,Igen,Budapest,Mindkettő,Kis- és középvállalkozás,10,Teljes munkaidős - állandó,"350 000,00 Ft",3,5,Javascript,Frontend fejlesztő,"React, Sass, Less, Angular",Star Wars
2016.09.09. 17:03:00,25-30,Férfi,Főiskola,Igen,Külföld,Bejárós,Állami szféra,3,Teljes munkaidős - állandó,"255 000,00 Ft",3,2,"PHP, Javascript, C++, Java, Pl/sql; pgsql",Szoftverfejlesztő,"PostgreSQL, OracleDB, JQuery, SVN, GIT, Linux, Nginx, Apache webszerver, Apache Tomcat, Oracle weblogic",Star Wars
2016.09.09. 17:03:38,30-35,Férfi,Főiskola,Igen,Budapest,Bejárós,Kis- és középvállalkozás,10,Teljes munkaidős - állandó,"446 000,00 Ft",3,4,Java,Senior fejlesztő,,Star Wars
2016.09.09. 17:12:22,20-25,Férfi,Szakközépiskola,Igen,Vidék,Mindkettő,Bankszektor,6,Teljes munkaidős - ideiglenes,"50 000,00 Ft",1,4,PHP,"Vezető fejlesztő, Frontend fejlesztő, stb",LESS és kb az összes,Star Wars
2016.09.09. 17:13:49,30-35,Nő,Gimnázium,Nem,Budapest,Bejárós,Kis- és középvállalkozás,12,Teljes munkaidős - állandó,"390 000,00 Ft",2,1,"PHP, Javascript",PHP fejlesztő,"Laravel, Redis, Unix",Star Trek
2016.09.09. 17:22:29,20-25,Férfi,Szakközépiskola,Nem,Budapest,Bejárós,Kis- és középvállalkozás,5,Teljes munkaidős - állandó,"400 000,00 Ft",4,4,"PHP, Javascript",Vezeto fejleszto,"Laravel, scss, babeljs, jquery, cakephp, codeigniter, yii",He?
2016.09.09. 17:24:09,35-40,Férfi,Szakiskola,Nem,Vidék,Távmunka,Kis- és középvállalkozás,10,Szabadúszó,"100 000,00 Ft",2,2,Actionscript,Designer,,He?
2016.09.09. 17:26:43,20-25,Férfi,Szakközépiskola,Nem,Budapest,Bejárós,Kis- és középvállalkozás,3,Teljes munkaidős - állandó,"325 000,00 Ft",4,1,"PHP, Javascript",backend és lead frontend,"Laravel, LESS, SASS/SCSS, Gulp, Grunt, ES6, Leaflet, Bash, Ubuntu DevOps, MySQL, Vue.js, Drupal 7-8",He?
2016.09.09. 17:44:36,25-30,Férfi,Szakiskola,Igen,Budapest,Bejárós,Kis- és középvállalkozás,4,Teljes munkaidős - állandó,"240 000,00 Ft",4,2,"PHP, Javascript, C#",Full stack fejlesztő,"Angular,SASS,Docker,Sphinx,ES6,FabricJS",Star Wars
