time,age,sex,education,relevant_ed,location,remoteness,company_type,experience,contract,salary,contentment,happiness,languages,position,other_tech,sci_fi
2016.09.09. 17:49:51,25-30,Férfi,Egyetem,Igen,Vidék,Bejárós,Nemzetközi cég,3,Teljes munkaidős - állandó,"165 000,00 Ft",1,1,"PHP, C++, Python, C",Programozó,"Codeigniter, elektronika, automatizálás, szenzorok, IoT",Star Wars
2016.09.09. 17:57:41,25-30,Férfi,Szakiskola,Igen,Külföld,Mindkettő,Kis- és középvállalkozás,0,Teljes munkaidős - állandó,"300 000,00 Ft",3,3,"PHP, Javascript",webprogramozó,,Star Wars
2016.09.09. 17:59:21,25-30,Férfi,Egyetem,Nem,Budapest,Bejárós,Nemzetközi cég,7,Teljes munkaidős - állandó,"440 000,00 Ft",4,3,Javascript,Lead UI Designer / Developer,"html, css, less, sass, mysql,",Star Trek
2016.09.09. 18:06:01,35-40,Férfi,Egyetem,Igen,Budapest,Bejárós,Nemzetközi cég,32,Teljes munkaidős - állandó,"350 000,00 Ft",4,4,"PHP, Javascript",programozo,Bash? MySQL,Star Wars
2016.09.09. 18:07:42,25-30,Férfi,Főiskola,Igen,Budapest,Bejárós,Nemzetközi cég,12,Teljes munkaidős - állandó,"2 500 000,00 Ft",5,5,"PHP, Javascript, C#, C++, Java, Ruby, Swift, Python",Vezető programozó,,Star Trek
2016.09.09. 18:07:51,20-25,Férfi,Főiskola,Igen,Budapest,Távmunka,Nemzetközi cég,8,Teljes munkaidős - állandó,"220 000,00 Ft",3,4,"PHP, Javascript, Java",Lead IT Developer,"MVC, Yii, CMS, jQuery, Angular, LESS",Star Wars
2016.09.09. 18:15:16,35-40,Férfi,Főiskola,Nem,Budapest,Bejárós,Nemzetközi cég,12,Teljes munkaidős - állandó,"598 000,00 Ft",4,3,Java,Szenior developer,,He?
2016.09.09. 18:15:29,30-35,Férfi,Általános iskola,Nem,Budapest,Mindkettő,Kis- és középvállalkozás,12,Teljes munkaidős - állandó,"310 000,00 Ft",3,3,"PHP, Javascript",Senior Backend fejlesztő,"Yii2, Angular, LESS",Star Trek
2016.09.09. 18:15:46,25-30,Férfi,Egyetem,Igen,Külföld,Bejárós,public sector (EU),9,Teljes munkaidős - állandó,"1 300 000,00 Ft",5,4,PHP,technical lead,drupal,Star Wars
2016.09.09. 18:19:05,20-25,Férfi,Szakközépiskola,Nem,Budapest,Bejárós,Nemzetközi cég,3,Teljes munkaidős - állandó,"172 000,00 Ft",3,3,"PHP, Javascript",Junior,"Less,sass,docker,angular,redis,prosgesql",Star Wars
2016.09.09. 18:43:26,25-30,Férfi,Főiskola,Igen,Budapest,Bejárós,Kis- és középvállalkozás,8,Teljes munkaidős - állandó,"450 000,00 Ft",4,3,"PHP, Javascript",Front End Fejlesztő (senior - ez relatív) | Alapvetően Full Stack fejlesztő de a cégnél a Frontend-en nagy hiány van.,"Angular, SASS, (UX/UI, Webdesign)",He?
2016.09.09. 18:51:10,25-30,Férfi,Gimnázium,Nem,Külföld,Távmunka,Nemzetközi cég,2,Teljes munkaidős - állandó,"800 000,00 Ft",3,5,"PHP, Javascript",Frontend fejlesztő,"LESS, MySQL, git, Mongodb,",He?
2016.09.09. 18:57:34,30-35,Férfi,Főiskola,Igen,Vidék,Bejárós,Startup,15,Teljes munkaidős - állandó,"450 000,00 Ft",5,5,"PHP, Javascript, Python",Vezető fejlesztő,,Star Trek
2016.09.09. 19:10:38,25-30,Férfi,Főiskola,Igen,Budapest,Bejárós,Nemzetközi cég,7,Teljes munkaidős - állandó,"910 000,00 Ft",4,4,"Javascript, C#",Engineering Manager,,Star Trek
2016.09.09. 19:10:45,25-30,Férfi,Gimnázium,Nem,Külföld,Bejárós,Nemzetközi cég,2,Teljes munkaidős - állandó,"710 000,00 Ft",4,5,Javascript,frontend fejleszto,,Star Wars
2016.09.09. 19:29:26,30-35,Férfi,Főiskola,Igen,Budapest,Bejárós,Kis- és középvállalkozás,10,Teljes munkaidős - állandó,"470 000,00 Ft",2,3,"PHP, Javascript",Senior Frontend Developer,"Redis, Mongodb, LESS, SASS, Backbone, Gunt, Node.js",Star Wars
2016.09.09. 19:41:29,30-35,Férfi,Szakközépiskola,Nem,Budapest,Mindkettő,Kis- és középvállalkozás,2,Szabadúszó,"480 000,00 Ft",4,5,"PHP, Javascript",full stack fejlesztő,,Star Wars
2016.09.09. 19:49:04,25-30,Férfi,Egyetem,Igen,Budapest,Bejárós,Kis- és középvállalkozás,10,Teljes munkaidős - állandó,"700 000,00 Ft",3,3,"Javascript, C++, Java",Lead,"Spring, Angular, SASS, Docker, MySQL, Postgres, PostGis, AWS",He?
2016.09.09. 20:12:00,15-20,Férfi,Általános iskola,Nem,Budapest,Mindkettő,Kis- és középvállalkozás,4,Diák,"120 000,00 Ft",3,2,C#,Szoftvertesztelő / fejlesztő gyakornok,,Star Trek
2016.09.09. 20:20:22,25-30,Férfi,Egyetem,Nem,Budapest,Bejárós,Nemzetközi cég,3,Teljes munkaidős - állandó,"300 000,00 Ft",3,4,"PHP, Javascript, Java",szoftverfejlesztő,,Star Trek
2016.09.09. 20:24:58,30-35,Férfi,Gimnázium,Nem,Budapest,Bejárós,Nemzetközi cég,9,Teljes munkaidős - állandó,"362 000,00 Ft",4,4,"PHP, Javascript",Senior web developer,"CodeIgniter, less, sass, angularjs, lamp, bash",Star Wars
2016.09.09. 20:58:33,40+,Férfi,Szakközépiskola,Igen,Budapest,Bejárós,Nemzetközi cég,25,Teljes munkaidős - állandó,"1 080 000,00 Ft",4,2,"Javascript, C#, Java",Principal,"Angular, LESS, AWS, Redis, Azure, knockout, CSS, HTML, Elasticsearch, RabbitMq, Devexpress, SQL, PHP, Delphi, ASP.NET, .Net, jQuery, TFS, Git, Drupal, WCF, SalesForce",Star Wars
2016.09.09. 21:01:30,25-30,Férfi,Egyetem,Igen,Külföld,Mindkettő,Startup,5,Teljes munkaidős - állandó,"1 050 000,00 Ft",5,5,"PHP, Javascript, C++, Java, C",Vezeto fejleszto / CTO,,Star Wars
2016.09.09. 21:03:09,35-40,Férfi,Szakiskola,Nem,Budapest,Mindkettő,Nemzetközi cég,16,Teljes munkaidős - állandó,"179 000,00 Ft",2,3,"PHP, Javascript",Frontend fejlesztő,"Angular, React, Ember, LESS, SASS",Star Wars
2016.09.09. 21:05:41,35-40,Férfi,Főiskola,Igen,Budapest,Bejárós,Nemzetközi cég,18,Teljes munkaidős - állandó,"857 000,00 Ft",5,5,"PHP, Javascript, Ruby, Python",vezető fejlesztő,sokminden,He?
2016.09.09. 21:23:32,40+,Férfi,Főiskola,Igen,Budapest,Bejárós,Nemzetközi cég,16,Teljes munkaidős - állandó,"677 000,00 Ft",5,5,"Javascript, Java",lead developer,,Star Wars
2016.09.09. 21:29:17,20-25,Férfi,Szakközépiskola,Nem,Budapest,Távmunka,Egyéni vállalkozó,2,Szabadúszó,"150 000,00 Ft",3,3,"Javascript, C#",Frontend fejlesztő,jQuery,Star Wars
2016.09.09. 21:43:54,35-40,Férfi,Szakközépiskola,Igen,Budapest,Bejárós,Nemzetközi cég,18,Teljes munkaidős - állandó,"635 000,00 Ft",4,3,"PHP, Javascript",Vezető frontend fejlesztő,"sass, google soy",Star Wars
2016.09.09. 21:51:52,25-30,Férfi,Gimnázium,Nem,Budapest,Bejárós,Bankszektor,5,Teljes munkaidős - állandó,"650 000,00 Ft",4,2,Javascript,Senior Frontend fejlesztő,"Node.js, Koa, Angular, SASS, Docker, AWS, Redis, MongoDb",He?
2016.09.09. 22:05:59,20-25,Férfi,Egyetem,Igen,Vidék,Bejárós,Kis- és középvállalkozás,3,Teljes munkaidős - állandó,"226 000,00 Ft",4,4,"PHP, Javascript",Webfejlesztő,"Vagrant, postgre",Star Wars
2016.09.09. 22:27:05,35-40,Férfi,Egyetem,Igen,Budapest,Bejárós,Kis- és középvállalkozás,15,Teljes munkaidős - állandó,"300 000,00 Ft",4,5,"PHP, Javascript, C#, Java",Vezető fejlesztő,,Star Trek
2016.09.09. 22:32:23,30-35,Férfi,Főiskola,Igen,Vidék,Bejárós,Kis- és középvállalkozás,1,Teljes munkaidős - állandó,"140 000,00 Ft",3,4,"PHP, Javascript",Junior,,Star Wars
2016.09.09. 22:44:44,25-30,Férfi,Főiskola,Igen,Budapest,Távmunka,Kis- és középvállalkozás,9,Szabaduszo + alkalmazott,"500 000,00 Ft",3,3,"PHP, Javascript","Tulajdonos, Vezeto fejleszto",LESS,He?
2016.09.09. 22:53:20,25-30,Férfi,Főiskola,Igen,Budapest,Bejárós,Kis- és középvállalkozás,1,Teljes munkaidős - állandó,"120 000,00 Ft",1,2,"PHP, Javascript",Frontend fejlesztő,"Symfony, SASS",Star Wars
2016.09.09. 22:53:22,20-25,Férfi,Gimnázium,Nem,Vidék,Bejárós,Kis- és középvállalkozás,0,Teljes munkaidős - állandó,"130 000,00 Ft",1,3,"Javascript, C#, Java",Junior Frontend fejlesztő,"Angular, Sass, Redis, Firebase, Bash, Hibernate, Spring, Polymer, Cordova, Ionic",Star Wars
2016.09.09. 22:56:11,20-25,Férfi,Egyetem,Igen,Budapest,Bejárós,Kis- és középvállalkozás,1,Diák,"300 000,00 Ft",5,4,"Javascript, C#",Fejlesztő,,Star Wars
2016.09.09. 23:27:21,30-35,Férfi,Főiskola,Igen,Budapest,Bejárós,Kis- és középvállalkozás,8,Teljes munkaidős - állandó,"370 000,00 Ft",4,4,"PHP, Javascript",Vezető fejlesztő,,Star Trek
2016.09.09. 23:32:37,25-30,Férfi,Főiskola,Igen,Budapest,Távmunka,Nemzetközi cég,7,Szabadúszó,"200 000,00 Ft",3,3,"PHP, Javascript",Fejlesztő,,Star Trek
2016.09.09. 23:59:23,30-35,Férfi,Főiskola,Nem,Budapest,Mindkettő,Kis- és középvállalkozás,3,Teljes munkaidős - állandó,"300 000,00 Ft",3,3,"PHP, Javascript",simán fejlesztő,,Star Wars
2016.10.09. 0:27:40,25-30,Férfi,Szakközépiskola,Igen,Budapest,Mindkettő,Nemzetközi cég,13,Teljes munkaidős - állandó,"580 000,00 Ft",4,4,"Javascript, Ruby, Python",Lead,"Angular, React",Star Wars
2016.10.09. 0:42:09,20-25,Férfi,Egyetem,Igen,Budapest,Bejárós,Kis- és középvállalkozás,0,Teljes munkaidős - állandó,"200 000,00 Ft",3,4,"PHP, Javascript, C++, Java",Webfejlesztő,,Star Wars
2016.10.09. 0:43:59,25-30,Nő,Egyetem,Nem,Külföld,Mindkettő,Nemzetközi cég,3,Szabadúszó,"1 800 000,00 Ft",5,5,"Javascript, Java, HTML, CSS, other front end related",Front end dev,"Sass, less, compass, stylus, grunt, gulp, tdd, node.js, angular, vue.js, es6, jade, swig, a11y, performance opt, sitespeed.io, gsap, bodymovin, kicsi backend (laravel, lumen, sqlite)",Star Wars
2016.10.09. 0:46:10,25-30,Férfi,Egyetem,Igen,Budapest,Mindkettő,Kis- és középvállalkozás,2,Teljes munkaidős - állandó,"250 000,00 Ft",3,5,"C++, Ruby, Python",Cloud Engeneer,"Docker, Bash, AWS, Redis, Jenkins, Packer, Puppet Chef, Mysql,",Star Wars
2016.10.09. 1:30:45,30-35,Férfi,Egyetem,Igen,Budapest,Mindkettő,Startup,10,Teljes munkaidős - állandó,"1 000 000,00 Ft",5,5,"PHP, Javascript, Ruby, Python",lead architect,"laravel, angular, vue, codeigniter, django, redis, mongo, mysql, oracle, RoR, .net MVC, phonegap, ionic",Star Wars
2016.10.09. 2:47:32,25-30,Férfi,Szakközépiskola,Igen,Budapest,Mindkettő,Startup,4,Teljes munkaidős - állandó,"400 000,00 Ft",3,4,"PHP, Javascript, Java, Python, GO",Backend developer,GO,Star Wars
2016.10.09. 4:59:24,30-35,Férfi,Szakközépiskola,Igen,Budapest,Bejárós,Kis- és középvállalkozás,10,Teljes munkaidős - állandó,"275 000,00 Ft",3,3,"PHP, Javascript",vezető fejlesztő,,He?
2016.10.09. 7:16:41,25-30,Férfi,Szakközépiskola,Nem,Vidék,Mindkettő,Kis- és középvállalkozás,13,Szabadúszó,"80 000,00 Ft",1,2,"Javascript, GML",Web designer,,Star Wars
2016.10.09. 7:38:30,20-25,Férfi,Egyetem,Igen,Külföld,Bejárós,Nemzetközi cég,3,Teljes munkaidős - állandó,"3 000 000,00 Ft",5,5,"PHP, Javascript, C++, Java",Senior Front-end Developer,,Star Trek
2016.10.09. 7:47:02,20-25,Férfi,Egyetem,Igen,Külföld,Távmunka,Startup,2,Teljes munkaidős - ideiglenes,"700 000,00 Ft",4,3,"Javascript, Python",Full stack developer,"Angular, Django",Star Wars
2016.10.09. 7:49:24,25-30,Férfi,Egyetem,Igen,Budapest,Bejárós,Startup,5,Teljes munkaidős - állandó,"600 000,00 Ft",5,5,"PHP, Javascript, Python",PM,"SASS, Docker, Mongodb",Star Wars
2016.10.09. 7:58:38,30-35,Férfi,Egyetem,Igen,Budapest,Mindkettő,Kis- és középvállalkozás,9,Teljes munkaidős - állandó,"500 000,00 Ft",3,4,"Javascript, Java",Lead,,Star Wars
2016.10.09. 8:25:40,30-35,Férfi,Főiskola,Igen,Vidék,Bejárós,Kis- és középvállalkozás,12,Teljes munkaidős - állandó,"400 000,00 Ft",4,4,"PHP, Javascript",Team leader,"Kendo, mysql",Star Wars
2016.10.09. 8:29:27,30-35,Férfi,Szakközépiskola,Igen,Budapest,Mindkettő,Kis- és középvállalkozás,1,Teljes munkaidős - állandó,"180 000,00 Ft",4,5,"PHP, Javascript, html css",site-builder,"bootstrap, jquery",Star Wars
2016.10.09. 8:31:44,35-40,Férfi,Főiskola,Igen,Budapest,Bejárós,Nemzetközi cég,18,Teljes munkaidős - állandó,"500 000,00 Ft",4,3,"Javascript, nodejs",Senior Front end developer,"HTML,CSS,SASS",Star Wars
2016.10.09. 9:18:43,35-40,Férfi,Gimnázium,Nem,Külföld,Mindkettő,Bankszektor,16,Teljes munkaidős - állandó,"1 540 000,00 Ft",4,4,"PHP, Javascript, Java",Senior software engineer,"Angular, React, SASS, LESS, Redis, Elastic Search, Node.js",Star Wars
2016.10.09. 9:39:24,25-30,Férfi,Főiskola,Igen,Budapest,Mindkettő,Nemzetközi cég,8,Teljes munkaidős - állandó,"650 000,00 Ft",5,5,"PHP, Javascript, Java, CSA, Vs",vezető fejlesztő,"LESS, SASS, Angular",He?
2016.10.09. 9:52:09,20-25,Férfi,Főiskola,Nem,Budapest,Bejárós,Nemzetközi cég,1,Teljes munkaidős - állandó,"230 000,00 Ft",4,5,"Javascript, Python",Alkalmazás üzemeltető,"Docker, postgres, php, html,",Star Wars
2016.10.09. 9:54:33,20-25,Férfi,Gimnázium,Nem,Budapest,Távmunka,Kis- és középvállalkozás,3,Teljes munkaidős - állandó,"320 000,00 Ft",4,4,"PHP, Javascript, C++",Full Stack,,He?
2016.10.09. 10:04:21,20-25,Nő,Egyetem,Igen,Budapest,Mindkettő,Kis- és középvállalkozás,0,Teljes munkaidős - állandó,"210 000,00 Ft",4,3,"PHP, Javascript, C#, C++",Javascript fejlesztő (Junior),"Angular, Node, SASS, SQL, CodeIgniter, WordPress, Flash",Star Wars
2016.10.09. 10:30:15,35-40,Férfi,Gimnázium,Nem,Budapest,Mindkettő,Nemzetközi cég,15,Teljes munkaidős - állandó,"650 000,00 Ft",3,4,"PHP, Javascript, Java",Senior application developer,*,Star Trek
2016.10.09. 10:50:19,20-25,Férfi,Gimnázium,Nem,Budapest,Bejárós,Nemzetközi cég,6,Teljes munkaidős - állandó,"418 000,00 Ft",3,3,"PHP, Javascript, C#, Java, Python",Backend Fejlesztő,"Docker,Bash,SASS,Git,DevOps,Ansible,Varnish",Star Trek
2016.10.09. 11:02:51,40+,Férfi,Szakiskola,Igen,Külföld,Bejárós,Nemzetközi cég,16,Teljes munkaidős - állandó,"1 182 702,00 Ft",4,4,"PHP, Javascript, C#, C++, Java",Senior PHP fejlesztő,"SASS, RequireJS, Backbone JS, LAPM, Pascal,",Star Wars
2016.10.09. 11:27:48,25-30,Férfi,Egyetem,Nem,Budapest,Bejárós,Nemzetközi cég,1,Teljes munkaidős - állandó,"267 000,00 Ft",1,2,"Javascript, Ruby, Python",developer,tul sok,Star Wars
2016.10.09. 11:29:29,30-35,Férfi,Egyetem,Igen,Budapest,Bejárós,Kis- és középvállalkozás,15,Szabadúszó és fix is,"150 000,00 Ft",5,5,"PHP, Javascript, C#, Java, Python",Senior Lead Developer,Mindegyikben,Star Wars
2016.10.09. 11:40:26,30-35,Férfi,Főiskola,Igen,Budapest,Bejárós,Kis- és középvállalkozás,8,Teljes munkaidős - állandó,"400 000,00 Ft",3,4,PHP,Senior Backend Developer,Symfony 2,Star Wars
2016.10.09. 11:41:51,35-40,Férfi,Egyetem,Igen,Vidék,Bejárós,Kis- és középvállalkozás,7,Teljes munkaidős - állandó,"200 000,00 Ft",1,2,"C#, Java, html, css",Fejlesztő,"OOP, TDD, SCRUM, JDBC, Entity Framework, NHibernate, MVC, Git, Microsoft Team Foundation Server, SVN, SQL",Star Wars
2016.10.09. 11:43:02,30-35,Férfi,Főiskola,Igen,Budapest,Bejárós,Kis- és középvállalkozás,8,Teljes munkaidős - állandó,"400 000,00 Ft",3,4,PHP,Senior Backend Developer,Symfony 2,Star Wars
2016.10.09. 11:43:51,30-35,Férfi,Főiskola,Igen,Budapest,Bejárós,Kis- és középvállalkozás,8,Teljes munkaidős - állandó,"400 000,00 Ft",3,4,PHP,Senior Backend Developer,Symfony 2,Star Wars
2016.10.09. 11:51:36,20-25,Férfi,Egyetem,Igen,Budapest,Bejárós,Kis- és középvállalkozás,3,Teljes munkaidős - állandó,"260 000,00 Ft",4,4,"PHP, Javascript",Backend fejlesztő,"Symfony, Laravel, Codeigniter",Star Wars
2016.10.09. 12:12:34,25-30,Férfi,Szakiskola,Igen,Budapest,Bejárós,Kis- és középvállalkozás,6,Teljes munkaidős - állandó,"430 000,00 Ft",4,4,"PHP, Javascript",Head of Frontend Developer,"Laravel, Angular, React, LESS, SASS, Docker, AWS, Redis, Mongodb",Star Wars
2016.10.09. 12:13:29,30-35,Férfi,Egyetem,Igen,Budapest,Bejárós,Nemzetközi cég,7,Teljes munkaidős - állandó,"450 000,00 Ft",2,1,"Java, Android",Senior Android Fejlesztő,Android,He?
2016.10.09. 12:28:06,30-35,Férfi,Főiskola,Nem,Budapest,Bejárós,Kis- és középvállalkozás,9,Teljes munkaidős - állandó,"410 000,00 Ft",3,4,"PHP, Javascript, Mysql, CSS,",Senior,Cache,He?
2016.10.09. 12:47:51,30-35,Férfi,Szakközépiskola,Nem,Budapest,Bejárós,Nemzetközi cég,5,Teljes munkaidős - állandó,"350 000,00 Ft",4,5,"PHP, Javascript, Java, Swift, Python, Kotlin, Objective-C",Mobil alkalmazás fejlesztő,"Node Js, MongoDB, Bash, Git, Angular JS, Backbone",Star Trek
2016.10.09. 13:33:09,25-30,Férfi,Szakközépiskola,Nem,Budapest,Bejárós,Kis- és középvállalkozás,6,Teljes munkaidős - állandó,"250 000,00 Ft",3,4,"PHP, Javascript, C#",Frontend és backend fejlesztő,"AngularJS, LESS, SASS, Bootstrap",He?
2016.10.09. 13:49:21,20-25,Férfi,Egyetem,Igen,Budapest,Bejárós,Kis- és középvállalkozás,3,Teljes munkaidős - állandó,"600 000,00 Ft",3,3,"C#, C++",Fejlesztő,"WPF,WCF,SQL,CodedUI,Scrum,Bash,Testing,model based testing,keyword based testing,",Star Wars
2016.10.09. 13:53:54,25-30,Férfi,Gimnázium,Nem,Budapest,Bejárós,Kis- és középvállalkozás,2,Teljes munkaidős - állandó,"200 000,00 Ft",3,4,PHP,Junior,Laravel,Star Wars
2016.10.09. 13:54:35,25-30,Férfi,Szakközépiskola,Igen,Budapest,Bejárós,Nemzetközi cég,10,Teljes munkaidős - állandó,"340 000,00 Ft",3,4,"PHP, Javascript, C#, C++, Java, Python",Experienced fejlesztő,Config management. Provisioning. Vagrant. Bash. Docker. Openstack. Storage.,Star Wars
2016.10.09. 14:05:43,20-25,Férfi,Gimnázium,Nem,Budapest,Bejárós,Kis- és középvállalkozás,3,Teljes munkaidős - állandó,"200 000,00 Ft",2,3,"PHP, Javascript",Full stack fejlesztő,"Laravel, Angular, SASS, MySQL, Grunt, NodeJS",He?
2016.10.09. 14:09:51,25-30,Férfi,Egyetem,Nem,Budapest,Bejárós,Kis- és középvállalkozás,4,Teljes munkaidős - állandó,"270 000,00 Ft",3,3,"PHP, Javascript",Senior PHP fejlesztő,"Laravel, Angular, VueJS, Sass",Star Trek
2016.10.09. 15:39:17,20-25,Férfi,Szakközépiskola,Igen,Budapest,Bejárós,Kis- és középvállalkozás,2,Diák,"160 000,00 Ft",3,5,"PHP, Javascript, C#",Frontend fejlesztő,"Codeigniter, Laravel, LESS, SASS, Bash, MongoDB, MySQL, Node.js, Atom.io packages, ES6, Babel, jQuery",Star Wars
2016.10.09. 15:58:21,25-30,Férfi,Szakiskola,Nem,Vidék,Mindkettő,Kis- és középvállalkozás,10,Szabadúszó,"500 000,00 Ft",4,3,"PHP, Javascript, C++",Vezető fejlesztő,"Slim3, Angular, SCSS",He?
2016.10.09. 17:16:54,25-30,Férfi,Főiskola,Igen,Vidék,Bejárós,Kis- és középvállalkozás,6,Teljes munkaidős - állandó,"180 000,00 Ft",4,4,"PHP, Javascript, Java",Fejlesztő,"SASS, Bash",Star Wars
2016.10.09. 17:23:12,25-30,Férfi,Szakiskola,Igen,Külföld,Bejárós,Kis- és középvállalkozás,5,Teljes munkaidős - állandó,"800 000,00 Ft",4,4,C#,Frontend / Backend,"Less, Sass, Angular, TypeScript, SQL 2008++, PHP",Star Wars
2016.10.09. 19:09:59,25-30,Férfi,Főiskola,Igen,Budapest,Bejárós,Kis- és középvállalkozás,3,Teljes munkaidős - állandó,"300 000,00 Ft",4,4,"PHP, Javascript, C#, Java, Ruby",Full stack,,Star Wars
2016.10.09. 19:38:42,25-30,Férfi,Főiskola,Nem,Budapest,Bejárós,Kis- és középvállalkozás,3,Teljes munkaidős - állandó,"290 000,00 Ft",3,3,"PHP, Javascript",frontend fejlesztő,"Laravel, React, SASS, Docker, BEM, Git, Gulp, Webpack, Node.js, npm, Vue.js",He?
2016.10.09. 20:52:38,30-35,Férfi,Szakközépiskola,Igen,Budapest,Bejárós,Startup,4,Teljes munkaidős - állandó,"280 000,00 Ft",5,4,"PHP, Javascript",junior webfejlesztő,"laravel,html, css",Star Wars
2016.10.09. 21:16:44,25-30,Férfi,Szakiskola,Igen,Budapest,Bejárós,Kis- és középvállalkozás,8,Teljes munkaidős - állandó,"235 000,00 Ft",2,3,"PHP, Javascript, Html5, css3, mysql",Full stack,"Jquery, oop, mvc",Star Wars
2016.11.09. 10:30:24,20-25,Férfi,Szakközépiskola,Igen,Budapest,Bejárós,Kis- és középvállalkozás,2,Teljes munkaidős - állandó,"130 000,00 Ft",1,2,"PHP, Javascript, C++, Java",Backend fejlesztő,Symfony sql redis memcache apc doctrine nginx sass less phpstorm docker git svn ...,Star Wars
2016.11.09. 11:20:08,40+,Férfi,Szakiskola,Nem,Vidék,Távmunka,Startup,15,Teljes munkaidős - ideiglenes,"360 000,00 Ft",4,4,AS2,IA/UI/UX designer,Adobe Flash,Star Wars
2016.11.09. 13:14:08,25-30,Férfi,Egyetem,Nem,Budapest,Bejárós,Bankszektor,4,Teljes munkaidős - állandó,"320 000,00 Ft",3,5,"PHP, Javascript, C#, C++, Java, Swift, Python",Fejlesztő,,He?
2016.11.09. 16:18:05,30-35,Férfi,Főiskola,Igen,Vidék,Bejárós,Kis- és középvállalkozás,12,Teljes munkaidős - állandó,"200 000,00 Ft",1,3,"PHP, Javascript",vezető fejlesztő,,Star Wars
2016.11.09. 21:15:48,25-30,Férfi,Szakközépiskola,Igen,Budapest,Bejárós,Startup,6,Teljes munkaidős - állandó,"250 000,00 Ft",3,3,"PHP, Javascript",Backend dev,"REST, SOAP, Swift",Star Wars
2016.11.09. 21:16:20,25-30,Férfi,Gimnázium,Igen,Budapest,Mindkettő,Kis- és középvállalkozás,7,Teljes munkaidős - állandó,"500 000,00 Ft",5,4,"PHP, Javascript",Frontend fejlesztő,"Angular, LESS, SASS, Bash, AWS",Star Wars
2016.12.09. 1:05:27,30-35,Férfi,Szakközépiskola,Nem,Külföld,Távmunka,Kis- és középvállalkozás,14,Szabadúszó,"1 200 000,00 Ft",4,3,"PHP, Javascript, Java, Ruby",senior frontend developer,,Star Wars
2016.12.09. 7:29:05,30-35,Férfi,Főiskola,Nem,Budapest,Mindkettő,Kis- és középvállalkozás,6,Teljes munkaidős - állandó,"285 000,00 Ft",4,3,"PHP, Java",Developer,,Star Wars
2016.12.09. 9:21:19,25-30,Férfi,Egyetem,Nem,Budapest,Mindkettő,Startup,10,Részmunkaidő,"300 000,00 Ft",3,4,"PHP, Javascript","Senior Frontend Fejl,","Angular, Less, SASS, Node",Star Wars
2016.12.09. 16:02:08,25-30,Nő,Főiskola,Igen,Külföld,Bejárós,Nemzetközi cég,3,Teljes munkaidős - állandó,"600 000,00 Ft",4,4,"PHP, Javascript",Frontend fejleszto,,Star Trek
2016.12.09. 20:35:04,35-40,Férfi,Főiskola,Nem,Budapest,Bejárós,Kis- és középvállalkozás,16,Teljes munkaidős - állandó,"450 000,00 Ft",4,2,Javascript,Senior frontend f.,"Less,sass,backbone,marionette,angular",He?
2016.12.09. 22:10:57,20-25,Férfi,Főiskola,Igen,Vidék,Bejárós,Nemzetközi cég,1,Teljes munkaidős - állandó,"658 000,00 Ft",2,2,"PHP, Javascript, C#, C++, Java, Ruby, Swift, Python",Junior fejlesztő,"Laravel, Phalcon, Angular, React, LESS, SASS, Docker, Bash, AWS, Redis, Mongodb",Star Wars
2016.12.09. 23:54:11,35-40,Férfi,Főiskola,Igen,Budapest,Bejárós,Kis- és középvállalkozás,5,Teljes munkaidős - állandó,"270 000,00 Ft",3,2,"PHP, Delphi",fejlesztő,,He?
